# TBinMid=3.71519 ssec TBinWidth=7.77057 ss EBinWidth=0.2MeV Fluence at Earth for this timebin in neutrinos per cm^2
# E(GeV)	NuE	NuMu	NuTau	aNuE	aNuMu	aNuTau
   4.00000000E-02   1.57719601E+07   1.48032863E+07   1.48032863E+07   2.09207113E+07   1.80794650E+07   1.80794650E+07
   4.02000000E-02   1.51816028E+07   1.42458503E+07   1.42458503E+07   2.01543644E+07   1.73887367E+07   1.73887367E+07
   4.04000000E-02   1.46128506E+07   1.37089936E+07   1.37089936E+07   1.94151468E+07   1.67236301E+07   1.67236301E+07
   4.06000000E-02   1.40649351E+07   1.31919749E+07   1.31919749E+07   1.87021437E+07   1.60832337E+07   1.60832337E+07
   4.08000000E-02   1.35371146E+07   1.26940787E+07   1.26940787E+07   1.80144690E+07   1.54666664E+07   1.54666664E+07
   4.10000000E-02   1.30286726E+07   1.22146147E+07   1.22146147E+07   1.73512642E+07   1.48730768E+07   1.48730768E+07
   4.12000000E-02   1.25389171E+07   1.17529165E+07   1.17529165E+07   1.67116982E+07   1.43016417E+07   1.43016417E+07
   4.14000000E-02   1.20671802E+07   1.13083412E+07   1.13083412E+07   1.60949659E+07   1.37515662E+07   1.37515662E+07
   4.16000000E-02   1.16128166E+07   1.08802686E+07   1.08802686E+07   1.55002879E+07   1.32220819E+07   1.32220819E+07
   4.18000000E-02   1.11752038E+07   1.04681001E+07   1.04681001E+07   1.49269097E+07   1.27124467E+07   1.27124467E+07
